id,name,description,city,state,country,url,lat,lon
I205_92nd,I-205 at 92nd,I-205 at 92nd,Portland,OR,USA,http://www.TripCheck.com/roadcams/cams/i20592nd_pid532.jpg,,
I84_LloydBlvd,I-84 at Lloyd Blvd,I-84 at Lloyd Blvd,Portland,OR,USA,http://www.TripCheck.com/roadcams/cams/i84lloyd_pid587.jpg,,
I5_Terwilliger,I-5 at Terwilliger,I-5 at Terwilliger,Portland,OR,USA,http://www.TripCheck.com/roadcams/cams/i5terwil_pid573.jpg,,
US26_ZooBridge,US 26 at Zoo Bridge,US 26 at Zoo Bridge,Portland,OR,USA,http://www.TripCheck.com/roadcams/cams/26Zoo_pid498.jpg,,
I84_122nd_WB,I-84 at 122nd WB,I-84 at 122nd WB,Portland,OR,USA,http://www.TripCheck.com/roadcams/cams/I-84%20at%20122nd%20WB_pid4578.jpg,,
I205_Glisan_SB,I-205 at Glisan SB,I-205 at Glisan SB,Portland,OR,USA,http://www.TripCheck.com/roadcams/cams/I-205%20at%20Glisan%20SB_pid4405.jpg,,
I5_Fremont,I-5 at Fremont,I-5 at Fremont,Portland,OR,USA,http://www.TripCheck.com/roadcams/cams/i5fremont_pid560.jpg,,
I84_181st,I-84 at 181st,I-84 at 181st,Portland,OR,USA,http://www.TripCheck.com/roadcams/cams/i84@181st_pid1580.jpg,,
I5_MarineDrive,I-5 at Marine Drive,I-5 at Marine Drive,Portland,OR,USA,http://www.TripCheck.com/roadcams/cams/i5marine_pid567.jpg,,
I5_Broadway_N,I-5 at Broadway N,I-5 at Broadway N,Portland,OR,USA,http://www.TripCheck.com/roadcams/cams/I-5%20at%20Broadway%20N_pid4737.jpg,,

